ID,QC_LEVEL,INFO_SOURCE,CONTACT,EMAIL,ORGANISATION,ORGANISATION_ID,NO_REVISION,PERSON_REVISION,TIME_EVENT,TIME_CREATION,TIME_LAST_REVISION,TIME_ACCURACY,COUNTRY,STATE,PLACE,PLACE_LOCAL_LANGUAGE,DETAILED_LOCATION,NEAREST_CITY,LATITUDE,LONGITUDE,PLACE_ACCURACY,OROGRAPHY,SURFACE_INITIAL_LOCATION,SURFACE_CROSSED,TYPE_EVENT,NO_OBJECTS,MAX_HAIL_DIAMETER,MAX_HAILSTONE_WEIGHT,AVERAGE_HAIL_DIAMETER,THICKNESS_HAIL_LAYER,HAILSTONE,F_SCALE,F_SCALE_METHOD,DI_OF_MAX_IF,DOD_OF_MAX_IF,T_SCALE,RATING_BASIS,WIND_SPEED,TEN_MIN_WIND_SPEED,FUNNEL_SIGHTED,SUCTION_VORTICES,PRECIPITATION_AMOUNT,SNOW_FALL_AMOUNT,PEAK_PRECIP_AMOUNT,PEAK_SNOW_FALL_AMOUNT,PEAK_PRECIP_PERIOD,MAX_6_HOUR_PRECIP,MAX_6_HOUR_SNOW_FALL,MAX_12_HOUR_PRECIP,MAX_12_HOUR_SNOW_FALL,MAX_24_HOUR_PRECIP,MAX_24_HOUR_SNOW_FALL,CONVECTIVE,TOTAL_DURATION,TYPE_PRECIP,SIZE_ACCOMPANYING_HAIL,POSSIBILITIES,PATH_LENGTH,MEAN_PATH_WIDTH,MAX_PATH_WIDTH,MAX_VERTICAL_DEVELOP,DIRECTION_MOVEMENT,SNOW_HAZARDS,MEAN_HEIGHT_SNOW_CORNICES,MAX_HEIGHT_SNOW_CORNICES,ICE_HAZARDS,THICKNESS_ICE_COVER,THICKNESS_RIME_COVER,AVALANCHE_TYPE,AVALANCHE_FLOW_TYPE,SNOW_MASS_TYPE,AVALANCHE_SIZE,AVALANCHE_TRIGGER,ELEVATION_START,ELEVATION_DIFFERENCE,LIGHTNING_DAMAGE_TO,PEAK_CURRENT,POLARITY,EXCEPT_ELEC_PHENOM,PROPERTY_DAMAGE,CROP_FOREST_DAMAGE,TOTAL_DAMAGE,NO_INJURED,NO_KILLED,EVENT_DESCRIPTION,PATH_START_LATITUDE,PATH_START_LONGITUDE,PATH_START_DATETIME,PATH_END_LATITUDE,PATH_END_LONGITUDE,PATH_END_DATETIME,EXT_URL,REFERENCE,IMPACTS,CREATOR_ID,REVISOR_ID,LINK_ORG,LINK_ID,DELETED
4012,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-04-12 17:20:00,2025-04-15 14:44:28,2025-04-15 14:44:28,30M,PT,Évora,Reguengos de Monsaraz,,,,38.417,-7.533,5KM,,,,Flood,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.radiocampanario.com/estrada-entre-reguengos-de-monsaraz-e-a-vendinha-inundada-circulacao-interdita/?fbclid=IwY2xjawJoHmRleHRuA2FlbQIxMQABHvlZLi7bW13UTlLJOqYU_sTfukM1VThGQSYmoGDdbIumKcLQISbhz-w29izS_aem_Ox6z1hu5YVJ8sfPzz7EFQA#google_vignette,"""""Estrada entre Reguengos de Monsaraz e a Vendinha inundada. Circulação interdita"""", RADIO CAMPANARIO, 12 APR 2025",T1,Thilo,Thilo,ESSL,4012,N
4010,QC1,"DMGPHOTO,WWW",Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-04-12 16:50:00,2025-04-15 14:37:17,2025-04-15 14:37:17,15M,PT,Beja,Beja,,,,38.017,-7.867,5KM,,,,Flood,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.facebook.com/VigilantesDaEstrada/posts/pfbid02QxhKgoi9rQAJ5aJsaF1tzvmigkaUDXu4iJKVd9EK84rFdzmpPZMXTfo2dGUnNKBzl,"Vigilantes DA Estrada (Facebook), 13 APR 2025",T1,Thilo,Thilo,ESSL,4010,N
4011,QC1,"DMGPHOTO,WWW",Thilo Kühne (ESWD management/ESSL Team),,,,2,ESSL,2025-04-12 16:50:00,2025-04-15 14:39:04,2025-04-15 14:39:56,15M,PT,Beja,Odivelas,,,,38.167,-8.15,5KM,,,,Flood,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.facebook.com/watch/?v=952762276932692 https://www.facebook.com/OSMONHACAS/posts/pfbid037HybMx8fXYL2pN2yAV1u3J84dzjddEH39GHqb5naYpx8i2AoPrdQmCkvDpSoRSjQl,"Vigilantes DA Estrada (Facebook), 13 APR 2025. OS MONHACAS (Facebook), 12 APR 2025",T1H7H8,Thilo,Thilo,ESSL,4011,N
4007,QC1,"NWSP,DMGPHOTO",Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-04-12 13:20:00,2025-04-14 09:48:47,2025-04-14 09:48:47,15M,PT,Lisboa,Lisboa,,,,38.717,-9.133,3KM,,,,Flood,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.noticiasaominuto.com/pais/2766888/casas-e-carros-inundados-metro-fechado-chuva-leva-caos-a-lisboa-e-beja,"""""Casas e carros inundados, metro fechado. Chuva leva caos a Lisboa e Beja"""", NOTICIAS O MINUTO, 12 APR 2025",T1T4H7H8,Thilo,Thilo,ESSL,4007,N
4008,QC1,"NWSP,DMGPHOTO",Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-04-12 13:20:00,2025-04-14 09:49:02,2025-04-14 09:49:02,15M,PT,Lisboa,Loures,,,,38.833,-9.167,3KM,,,,Flood,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.noticiasaominuto.com/pais/2766888/casas-e-carros-inundados-metro-fechado-chuva-leva-caos-a-lisboa-e-beja,"""""Casas e carros inundados, metro fechado. Chuva leva caos a Lisboa e Beja"""", NOTICIAS O MINUTO, 12 APR 2025",T1H7H8,Thilo,Thilo,ESSL,4008,N
4009,QC1,"NWSP,DMGPHOTO",Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-04-12 13:20:00,2025-04-14 09:49:16,2025-04-14 09:49:16,15M,PT,Lisboa,Odivelas,,,,38.783,-9.183,3KM,,,,Flood,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.noticiasaominuto.com/pais/2766888/casas-e-carros-inundados-metro-fechado-chuva-leva-caos-a-lisboa-e-beja,"""""Casas e carros inundados, metro fechado. Chuva leva caos a Lisboa e Beja"""", NOTICIAS O MINUTO, 12 APR 2025",T1H7H8,Thilo,Thilo,ESSL,4009,N
3923,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-03-17 20:00:00,2025-03-18 08:40:11,2025-03-18 08:40:11,30M,PT,Faro,Amorosa,,,,37.255,-8.319,3KM,,,,Flood,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.sulinformacao.pt/en/2025/03/tornados-ou-downburst-provoca-estragos-em-albufeira-e-silves/,"""""Tornadoes or downbursts cause damage in Albufeira and Silves"""", sulinformacao.pt, 17 MAR 2025",T1,Thilo,Thilo,ESSL,3923,N
3922,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-03-17 19:10:00,2025-03-18 08:38:42,2025-03-18 08:38:42,30M,PT,Faro,Silves,,,,37.183,-8.433,5KM,,,,Flood,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.sulinformacao.pt/en/2025/03/tornados-ou-downburst-provoca-estragos-em-albufeira-e-silves/,"""""Tornadoes or downbursts cause damage in Albufeira and Silves"""", sulinformacao.pt, 17 MAR 2025",T1E1,Thilo,Thilo,ESSL,3922,N
3924,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-03-17 19:00:00,2025-03-18 08:40:43,2025-03-18 08:40:43,30M,PT,Faro,Monchique,,,,37.317,-8.55,3KM,,,,Landslide,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.sulinformacao.pt/en/2025/03/tornados-ou-downburst-provoca-estragos-em-albufeira-e-silves/,"""""Tornadoes or downbursts cause damage in Albufeira and Silves"""", sulinformacao.pt, 17 MAR 2025",T1E1,Thilo,Thilo,ESSL,3924,N
3925,QC1,NWSP,Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,2025-03-17 19:00:00,2025-03-18 08:41:39,2025-03-18 08:41:39,30M,PT,Faro,Mexilhoeira Grande,,,,37.15,-8.617,3KM,,,,Flood,,,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,https://www.sulinformacao.pt/en/2025/03/tornados-ou-downburst-provoca-estragos-em-albufeira-e-silves/,"""""Tornadoes or downbursts cause damage in Albufeira and Silves"""", sulinformacao.pt, 17 MAR 2025",T1E1,Thilo,Thilo,ESSL,3925,N
