ID,type,subtype,date,year,month,day,hour,georef,district,municipali,parish,DICOFREG,source,sourcedate,sourcetype,page,fatalities,injured,evacuated,displaced,missing,evento_nome
0433c373e6a8ced31fe663896b97d8e0,Flood,cheia,05/12/2021,2021,12,5,04:51,águeda,Aveiro,Águeda,águeda,10104.0,cnnportugal,2025-05-09,web,https://cnnportugal.iol.pt/mau-tempo/chuva/cheias-em-tomar-e-agueda,0,2,0,2,0,desconhecido
1b2585b3e9cf013e73161f6a56d20291,Flood,cheia,04/11/2024,2024,11,4,08:00,aveiro,Aveiro,Aveiro,aveiro,,cnnportugal,2025-05-09,web,https://cnnportugal.iol.pt/tempo/chuva/tempo-piora-esta-tarde-chuva-forte-atinge-todo-o-continente-e-protecao-civil-recomenda-cuidados/20241104/6728cd2fd34e94b8290708bf,0,0,0,0,0,desconhecido
d8ccc25eea843e544c5e8b17547b3e96,Flood,cheia,04/12/2021,2021,12,4,20:37,aveiro,Aveiro,Aveiro,aveiro,,cnnportugal,2025-05-09,web,https://cnnportugal.iol.pt/sociedade/temporal/mau-tempo-cheias-estradas-cortadas-e-ponte-caida,1,11,32,6,5,desconhecido
2938cadf2751e2f182d7a7e34572f0b9,Other,Other,13/10/2023,2023,10,13,07:00,aveiro,Aveiro,Aveiro,aveiro,,cnnportugal,2025-05-09,web,https://cnnportugal.iol.pt/chuva/mau-tempo/inundacoes-e-movimentacoes-de-terra-chuva-forte-ja-faz-consequencias-em-portugal/20231013/6529bcfbd34e371fc0b8b11e,1,1,0,3,0,desconhecido
35436fbb1f8361ff54d6ac1bdfcb6266,Other,Other,26/01/2025,2025,1,26,08:00,aveiro,Aveiro,Aveiro,aveiro,,cnnportugal,2025-05-09,web,https://cnnportugal.iol.pt/mau-tempo/chuva/inundacoes-e-quedas-de-arvores-protecao-civil-registou-133-ocorrencias-ate-ao-meio-da-tarde-deste-domingo/20250126/67967729d34e3f0bae99aa06,0,0,0,0,0,desconhecido
2da9c0410eddbdf8077cf20135b02948,Flood,inundacao,08/01/2025,2025,1,8,08:00,aveiro,Aveiro,Aveiro,aveiro,,cnnportugal,2025-05-09,web,https://cnnportugal.iol.pt/tempestade-portugal/mau-tempo-portugal/uma-ambulancia-arrastada-pela-forca-da-agua-escolas-encerradas-e-estradas-cortadas-mau-tempo-faz-estragos-no-norte-do-pais/20250108/677e9ca6d34e94b829097743,1,0,18,3,1,desconhecido
ee328937c6293cb708e6b271c75edb32,Flood,inundacao,08/01/2025,2025,1,8,08:00,aveiro,Aveiro,Aveiro,aveiro,,cnnportugal,2025-05-09,web,https://cnnportugal.iol.pt/viana-do-castelo/mau-tempo/duas-escolas-fechadas-e-infiltracoes-no-hospital-no-concelho-de-viana-do-castelo-por-causa-do-mau-tempo/20250108/677e6521d34e94b82909740f,0,0,0,0,0,ana
a89fc201764a3933bf7f48433d9b8d28,Landslide,deslizamento,03/06/2024,2024,6,3,07:00,avis,Portalegre,Avis,avis,120303.0,cnnportugal,2025-05-09,web,https://cnnportugal.iol.pt/mau-tempo/cheias/inundacoes-e-deslizamentos-de-terra-nos-acores-familia-realojada-devido-ao-mau-tempo/20240603/665db1f6d34e0498922184a5,0,0,0,0,0,desconhecido
357ed19a97af911b9f240f32dfa94595,Other,Other,21/03/2025,2025,3,21,07:00,aveiro,Aveiro,Aveiro,aveiro,,cnnportugal,2025-05-09,web,https://cnnportugal.iol.pt/lourosa/mau-tempo/queda-de-muro-de-estadio-causa-danos-em-30-campas-de-cemiterio-da-feira/20250321/67dd5b40d34ef72ee443b9ab,5,3,2,13,4,desconhecido
74efd72dd15e77ea3403fb9a9dc84e83,Other,Other,20/03/2022,2022,3,20,07:00,beja,Beja,Beja,beja,,cnnportugal,2025-05-09,web,https://cnnportugal.iol.pt/algarve/mau-tempo-provoca-queda-de-arvores-e-inundacoes-faro-e-o-distrito-mais-afetado/20220320/623770130cf2cc58e7e9938d,1,3,17,96,3,desconhecido
