ID,type,subtype,date,year,month,day,hour,georef,district,municipali,parish,DICOFREG,source,sourcedate,sourcetype,page,fatalities,injured,evacuated,displaced,missing
50496ea6a117b21b139b491f33964f4b,Flood,cheia,20/12/2019,2019,12,20,08:00,águeda,Aveiro,Águeda,águeda,10104.0,noticiasdeaveiro,2025-04-21,web,https://www.noticiasdeaveiro.pt/baixa-de-agueda-revive-cheias-historicas/,2,0,0,0,0
e489fca6bd0ecb6277f782bccd7e95c0,Flood,cheia,21/12/2019,2019,12,21,08:00,águeda,Aveiro,Águeda,águeda,10104.0,rtp,2025-04-21,web,https://www.rtp.pt/noticias/pais/mau-tempo-em-portugal-a-situacao-ao-minuto_e1193250,2,0,0,0,1
55ad020f663f7cdc3e1f42d192aeeb37,Flood,cheia,21/12/2019,2019,12,21,08:00,aveiro,Aveiro,Aveiro,aveiro,,expresso,2025-04-21,web,https://expresso.pt/sociedade/2019-12-21-Vai-a-Elsa-vem-o-Fabien-muda-a-tempestade-mas-a-chuva-e-a-mesma,2,0,0,0,1
0186e43053c15136877a77094d7f9e23,Other,Other,08/10/2024,2024,10,8,07:00,penela,Coimbra,Penela,penela,,noticiasaominuto,2025-04-21,web,https://www.noticiasaominuto.com/pais/2647040/protecao-civil-avisa-perante-ciclone-kirk-da-prevencao-ao-que-esperar,0,2,0,0,0
85bcb8c429dd7dfdc0debb5e6188138c,Flood,cheia,18/09/2024,2024,9,18,07:00,águeda,Aveiro,Águeda,águeda,10104.0,jornaldenegocios,2025-04-21,web,https://www.jornaldenegocios.pt/economia/detalhe/incendios-dois-mortos-em-sever-do-vouga-e-albergaria-a-velha,7,118,0,0,0
1a747a41dbcb249cb57de43132f57101,Flood,cheia,24/12/2019,2019,12,24,08:00,coimbra,Coimbra,Coimbra,coimbra,,publico,2025-04-21,web,https://www.publico.pt/2019/12/24/sociedade/noticia/situacao-cheia-vale-mondego-estabilizar-1898387,2,0,0,0,1
3903e2305066967e0566233af380ce00,Flood,cheia,15/02/2016,2016,2,15,08:00,aveiro,Aveiro,Aveiro,aveiro,,rr,2025-04-21,web,https://rr.pt/noticia/pais/2016/02/15/mau-tempo-quatro-familias-retiradas-de-casa-em-ponte-de-lima/46888/,1,0,0,0,0
8bc0882f7f814c1838ae0156969de029,Other,Other,13/10/2018,2018,10,13,07:00,anadia,Aveiro,Anadia,anadia,,noticiasdeaveiro,2025-04-21,web,https://www.noticiasdeaveiro.pt/tempestade-leslie-vento-muito-forte-em-avhttps-www-noticiasdeaveiro-pt-wp-admin-post-new-phpeiro-passou-sem-danos-graves-atualizado-as-0040/,0,1,0,0,0
37cd7b1ab39e9b292d9517cc21771ef4,Other,Other,24/11/2024,2024,11,24,08:00,aveiro,Aveiro,Aveiro,aveiro,,noticiasaominuto,2025-04-21,web,https://www.noticiasaominuto.com/pais/2676504/chuva-da-depressao-bert-pode-causar-cheias-noite-sera-o-mais-critico,3,2,0,0,0
d8ccc25eea843e544c5e8b17547b3e96,Flood,cheia,04/12/2021,2021,12,4,20:37,aveiro,Aveiro,Aveiro,aveiro,,cnnportugal,2025-04-21,web,https://cnnportugal.iol.pt/sociedade/temporal/mau-tempo-cheias-estradas-cortadas-e-ponte-caida,0,1,0,0,0
bb6abdf701b2ceb267de5c2e6c7efa9e,Other,Other,21/03/2025,2025,3,21,07:00,aveiro,Aveiro,Aveiro,aveiro,,dn,2025-04-21,web,https://www.dn.pt/sociedade/mau-tempo-maioria-dos-distritos-com-aviso-devido-%C3%A0-chuva-vento-agita%C3%A7%C3%A3o-mar%C3%ADtima-e-neve,0,1,0,0,0
92bc53d9a7ccf85fbddfe0e11ab69d12,Other,Other,22/01/2025,2025,1,22,08:00,aveiro,Aveiro,Aveiro,aveiro,,sicnoticias,2025-04-21,web,https://sicnoticias.pt/meteorologia/2025-01-22-chuva-forte-protecao-civil-registou-71-ocorrencias-e-dois-feridos-durante-a-madrugada-b7defb5b,0,2,0,0,0
beb4de8161e61958ab648be99ee96d3e,Other,Other,20/03/2025,2025,3,20,07:00,aveiro,Aveiro,Aveiro,aveiro,,rr,2025-04-21,web,https://rr.pt/noticia/pais/2025/03/20/depressao-martinho-tempestade-provocou-mais-de-quatro-mil-ocorrencias-entre-a-meia-noite-e-as-7h00/418236/,0,0,0,13,0
7f099883e556e34c0406edec5b2b4405,Landslide,deslizamento,15/10/2018,2018,10,15,07:00,aveiro,Aveiro,Aveiro,aveiro,,sicnoticias,2025-04-21,web,https://sicnoticias.pt/pais/2018-10-15-Mealhada-aciona-Plano-Municipal-de-Emergencia-na-sequencia-da-tempestade-Leslie,0,28,0,61,0
