ID,type,subtype,date,year,month,day,hour,georef,district,municipali,parish,DICOFREG,source,sourcedate,sourcetype,page,fatalities,injured,evacuated,displaced,missing,evento_nome
a115dcab4237832c8878db0a9c28dad5,Flood,cheia,08/08/2024,2024,8,8,07:00,aveiro,Aveiro,Aveiro,aveiro,,jn,2025-04-21,web,https://www.jn.pt/3497599453/obras-nas-comportas-de-aveiro-para-evitar-cheias-custam-750-mil-euros/,0,0,0,0,0,desconhecido
951a1c6efedd5e7c3d9f5137d298553f,Flood,cheia,06/02/2025,2025,2,6,08:00,aveiro,Aveiro,Aveiro,aveiro,,jn,2025-04-21,web,https://www.jn.pt/8511725498/muro-na-marginal-a-solucao-para-evitar-cheias-na-avenida-dos-bacalhoeiros/,0,0,0,0,0,desconhecido
434a56c899e581442fa2eaa55fa533bf,Flood,cheia,15/03/2025,2025,3,15,15:41,espinho,Aveiro,Espinho,espinho,180804.0,jn,2025-04-21,web,https://www.jn.pt/1110210989/carros-arrastados-e-ruas-inundadas-cheias-sem-precedentes-atingem-regiao-da-toscana/?utm_source=jn.pt&utm_medium=recomendadas&utm_campaign=rec_edit_externo_marcas,0,0,0,0,0,ana
8a00ab7c67ff8d405c16ce147008856e,Flood,cheia,04/03/2025,2025,3,4,08:00,estarreja,Aveiro,Estarreja,estarreja,,jn,2025-04-21,web,https://www.jn.pt/4365886887/frio-qual-frio-ruas-cheias-para-abracar-o-rei-da-satira-da-cor-e-da-alegria/,0,0,0,0,0,desconhecido
855085a94f6bc38682f6a10392a28f9a,Flood,cheia,02/11/2024,2024,11,2,07:00,ílhavo,Aveiro,Ílhavo,ílhavo,,jn,2025-04-21,web,https://www.jn.pt/7334885120/ilhavo-substitui-valvulas-de-mare-para-travar-cheias/,0,0,0,0,0,desconhecido
bd188ff25f899e290d264a4d96d22904,Other,Other,12/04/2025,2025,4,12,18:18,beja,Beja,Beja,beja,,jn,2025-04-21,web,https://www.jn.pt/8501795390/chuva-forte-causou-inundacoes-em-lisboa-e-beja-e-deixou-pessoas-isoladas-em-loures/,0,0,0,0,0,desconhecido
e3f3950e80d24f217e110319a07916e7,Flood,cheia,13/04/2025,2025,4,13,18:42,braga,Braga,Braga,braga,,jn,2025-04-21,web,https://www.jn.pt/3067493198/ruas-de-braga-cheias-no-arranque-da-semana-santa/,0,0,0,0,0,ana
d77b27cff1323fe878cb9eea73e1195a,Flood,cheia,18/12/2024,2024,12,18,08:00,lisboa,Lisboa,Lisboa,lisboa,,jn,2025-04-21,web,https://www.jn.pt/1673282352/greve-ameaca-deixar-cidades-de-norte-a-sul-cheias-de-lixo/,0,0,0,0,0,desconhecido
bc4ea8fe20da8e5d0e4058570c2f0168,Other,Other,17/01/2025,2025,1,17,08:00,bragança,Bragança,Bragança,bragança,,jn,2025-04-22,web,https://www.jn.pt/2010339652/proxima-semana-traz-chuva-e-vento-forte-mas-temperaturas-mais-altas/,0,0,0,0,0,ana
6521fad7610bb75ee1aa0e6c83394b66,Other,Other,03/11/2024,2024,11,3,07:00,mora,Évora,Mora,mora,70703.0,jn,2025-04-22,web,https://www.jn.pt/4284981756/casas-inundadas-em-sao-miguel-a-passagem-da-tempestade-patty/,0,0,0,0,0,miguel
7b9d5f24afd7ee1579936799bc529596,Other,Other,29/10/2024,2024,10,29,07:00,mora,Évora,Mora,mora,70703.0,jn,2025-04-22,web,https://www.jn.pt/5672091717/videos-mostram-estragos-causados-por-granizo-em-almeria/,0,0,0,0,0,desconhecido
