[2025-06-02T19:31:57.142+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: google_scraper_pipeline.run_scraper manual__2025-06-02T16:36:58.866401+00:00 [queued]>
[2025-06-02T19:31:57.148+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: google_scraper_pipeline.run_scraper manual__2025-06-02T16:36:58.866401+00:00 [queued]>
[2025-06-02T19:31:57.148+0000] {taskinstance.py:2170} INFO - Starting attempt 13 of 13
[2025-06-02T19:31:57.156+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): run_scraper> on 2025-06-02 16:36:58.866401+00:00
[2025-06-02T19:31:57.159+0000] {standard_task_runner.py:60} INFO - Started process 1624 to run task
[2025-06-02T19:31:57.161+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'google_scraper_pipeline', 'run_scraper', 'manual__2025-06-02T16:36:58.866401+00:00', '--job-id', '24', '--raw', '--subdir', 'DAGS_FOLDER/google_scraper_dag.py', '--cfg-path', '/tmp/tmp5oa41iwe']
[2025-06-02T19:31:57.163+0000] {standard_task_runner.py:88} INFO - Job 24: Subtask run_scraper
[2025-06-02T19:31:57.198+0000] {task_command.py:423} INFO - Running <TaskInstance: google_scraper_pipeline.run_scraper manual__2025-06-02T16:36:58.866401+00:00 [running]> on host 4a3ff0e975f7
[2025-06-02T19:31:57.258+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='google_scraper_pipeline' AIRFLOW_CTX_TASK_ID='run_scraper' AIRFLOW_CTX_EXECUTION_DATE='2025-06-02T16:36:58.866401+00:00' AIRFLOW_CTX_TRY_NUMBER='13' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-02T16:36:58.866401+00:00'
[2025-06-02T19:31:58.727+0000] {logging_mixin.py:188} INFO - ✅ Dependências instaladas com sucesso
[2025-06-02T19:31:58.728+0000] {logging_mixin.py:188} INFO - 📦 A executar comando: python3 /opt/***/dags/google_scraper/scraping/run_scraper_***.py --dias 1
[2025-06-02T19:46:11.651+0000] {logging_mixin.py:188} INFO - Código de retorno: 0
[2025-06-02T19:46:11.653+0000] {logging_mixin.py:188} INFO - Resultado: 
[2025-06-02T19:46:11.654+0000] {logging_mixin.py:188} INFO - Erros: 2025-06-02 19:32:00,289 - INFO - A iniciar o scraper de Google News (versão Airflow)
2025-06-02 19:32:00,289 - INFO - Dias anteriores: 1, Data específica: None
2025-06-02 19:32:00,290 - INFO - Encontrados 0 artigos existentes
2025-06-02 19:32:00,294 - INFO - Gerados 3846 URLs para pesquisa
2025-06-02 19:32:00,294 - INFO - A processar lote 1/33
2025-06-02 19:32:01,436 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+bragança+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Cannot connect to host news.google.com:443 ssl:default [None]
2025-06-02 19:32:01,451 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+albergaria-a-velha+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Cannot connect to host news.google.com:443 ssl:default [None]
2025-06-02 19:32:01,454 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+figueira+da+foz+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Cannot connect to host news.google.com:443 ssl:default [None]
2025-06-02 19:32:01,466 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+ferreira+do+alentejo+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Cannot connect to host news.google.com:443 ssl:default [None]
2025-06-02 19:32:01,467 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+cabeceiras+de+basto+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Cannot connect to host news.google.com:443 ssl:default [None]
2025-06-02 19:32:01,498 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+vila+flor+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:01,498 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+penela+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:01,498 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+braga+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:01,499 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+mogadouro+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:01,499 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+montemor-o-velho+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,472 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+coimbra+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,483 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+carrazeda+de+ansiães+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,486 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+murtosa+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,487 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+torre+de+moncorvo+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,487 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+góis+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,487 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+castelo+branco+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,487 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+mirandela+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,487 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+mealhada+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,487 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+vila+de+rei+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,487 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+fundão+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,488 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+estarreja+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Cannot connect to host news.google.com:443 ssl:default [None]
2025-06-02 19:32:15,489 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+vieira+do+minho+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Cannot connect to host news.google.com:443 ssl:default [None]
2025-06-02 19:32:15,490 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+odemira+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,490 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+vimioso+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,491 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+arraiolos+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Cannot connect to host news.google.com:443 ssl:default [None]
2025-06-02 19:32:15,491 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+almodôvar+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Cannot connect to host news.google.com:443 ssl:default [None]
2025-06-02 19:32:15,492 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+barcelos+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Cannot connect to host news.google.com:443 ssl:default [None]
2025-06-02 19:32:15,492 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+proença-a-nova+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Cannot connect to host news.google.com:443 ssl:default [None]
2025-06-02 19:32:15,493 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+cantanhede+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,494 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+condeixa-a-nova+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,494 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+ourique+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,494 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+espinho+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,496 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+castro+verde+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,497 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+ílhavo+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,497 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+alvito+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:15,497 - ERROR - Erro ao obter https://news.google.com/rss/search?q=cheias+miranda+do+douro+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Server disconnected
2025-06-02 19:32:16,506 - INFO - A processar lote 2/33
2025-06-02 19:32:17,015 - WARNING - Erro ao obter https://news.google.com/rss/search?q=cheias+póvoa+de+varzim+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Estado 429
2025-06-02 19:32:17,021 - WARNING - Erro ao obter https://news.google.com/rss/search?q=cheias+marco+de+canaveses+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Estado 429
2025-06-02 19:32:17,023 - WARNING - Erro ao obter https://news.google.com/rss/search?q=cheias+marvão+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Estado 429
2025-06-02 19:32:17,024 - WARNING - Erro ao obter https://news.google.com/rss/search?q=cheias+maia+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Estado 429
2025-06-02 19:32:17,030 - WARNING - Erro ao obter https://news.google.com/rss/search?q=cheias+rio+maior+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Estado 429
2025-06-02 19:32:17,032 - WARNING - Erro ao obter https://news.google.com/rss/search?q=cheias+penafiel+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Estado 429
2025-06-02 19:32:17,034 - WARNING - Erro ao obter https://news.google.com/rss/search?q=cheias+ferreira+do+zêzere+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Estado 429
2025-06-02 19:32:17,045 - WARNING - Erro ao obter https://news.google.com/rss/search?q=cheias+odivelas+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Estado 429
2025-06-02 19:32:17,046 - WARNING - Erro ao obter https://news.google.com/rss/search?q=cheias+sobral+de+monte+agraço+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Estado 429
2025-06-02 19:32:17,050 - WARNING - Erro ao obter https://news.google.com/rss/search?q=cheias+ponte+de+sor+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Estado 429
2025-06-02 19:32:17,051 - WARNING - Erro ao obter https://news.google.com/rss/search?q=cheias+oeiras+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Estado 429
2025-06-02 19:32:17,051 - WARNING - Erro ao obter https://news.google.com/rss/search?q=cheias+porto+de+mós+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Estado 429
2025-06-02 19:32:17,051 - WARNING - Erro ao obter https://news.google.com/rss/search?q=cheias+paredes+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Estado 429
2025-06-02 19:32:17,054 - WARNING - Erro ao obter https://news.google.com/rss/search?q=cheias+amarante+Portugal&hl=pt-PT&gl=PT&ceid=PT:pt&when:1d: Estado 429
